Tekmovalec,Točke,Št. prvih mest
Dracolich,17,0
dhu_try,135,0
x0_000,26,0
michelvancan,93,0
fissional,526,0
alexandervandena...,6,0
MyNameIsAlreadyTaken,70,0
joereddington,28,0
kivi11,35,0
albinofrenchy,18,0
crex,2145,0
Hariram,204,0
eray,193,0
pwensing,1468,0
LeoTheAwesome,65,0
MaWeK,192,0
mickeyandkaka,48,0
vog,122,0
jacorbal,128,0
mister,19,0
Jodoform,57,0
artmakaroff,54,0
EndlessDream,83,0
rboykiy,67,0
uligrepel,16,0
ilogico,23,0
yihsiu,34,0
lifed00d,46,0
Leasty,290,0
cpcs,22,0
Miros,6,0
Kuroshii,9,0
pterjan,37,0
ssalnikov,11,0
ep104,458,0
jboeing,216,0
bje,11,0
aysu,39,0
kloppi,52,0
kevinsogo,1242,0
inform,12,0
Mastodon,34,0
Ozymandius,37,0
leox2015,127,0
TheSil,82,0
SimonBuerger,110,0
Trung,33,0
eporter,2743,0
bertfromearth,22,0
caspian,234,0
lgarron,73,0
Daxionan,3,0
Roelant,107,0
GengenGen,203,0
bbbruce,129,0
montypynchon,53,0
cheater2k,160,0
marte,161,0
srtachyon,3,0
RobArthan,252,0
muffoosta,37,0
ummmstuff,30,0
tklalmighty,117,0
saharsh,149,0
jtoft,75,0
migmit,8,0
DarknessGuideMe,175,0
Zetdwang,5,0
d310,97,0
IsoSampi,71,0
seabirds,72,0
kmazur,258,0
bryanhe,148,0
xleviator,99,0
netvipec,69,0
stream,78,0
akshyin,73,0
chyx,65,0
ruisselet,81,0
meeme,72,0
yuxc,2,0
opi2k2,17,0
kit1980,150,0
Mike,809,0
osa_k,90,0
simonlindholm,1192,1
Eugene.Kocherga,16,0
goo,138,0
_Blackhawk_,30,0
RobertStanforth,10862,2
cephian,92,0
sb72,113,0
Awata,42,0
wd28,46,0
michael_tan,77,0
Alenka,16,0
lukasz_s,151,0
argilo,277,0
koen,2803,1
_aid,96,0
dhermes,91,0
yhcharles,10,0
rprestezog,1373,0
pkt2,167,0
ppasupat,69,0
andylewis31,23,0
jtonejc,32,0
0xE6,123,0
generic_user,66,0
brg,147,0
ManuelGundlach,50,0
jnafziger,10,0
thrap,42,0
josojo,1901,0
amichailampert,59,0
NickMcG,229,0
tiprof,73,0
786b6364,63,0
lucien,372,1
sbbone,14,0
adyg77,5,0
muupan,48,0
jreiffers,4,0
btilly,72,0
gsidebottom,53,0
MHLPlus,1,0
jmosteirin,4,0
eigenscalar,571,0
whatsup,1692,0
ll931110,52,0
simon.boulmier,59,0
it4kp,201,0
rwr,54,0
HuggyHermit,52,0
DenisK,21,0
Covax,79,0
fahrenba,94,0
